,Lesezeichen,Arbeitsvorgang,AVO-Kurztext,AVO-Langtext,Vorgänge,Teile pro Vorgang,VD-Wert,VD-Kurztext,label,Lfd.Nr.,Beschreibung,Langcode,Kurzcode,tg,A,H,T,n (Wert),tg*n
16,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000B:8WK,8WK: 25000B,Laufweg Abschirmbleche komissionieren,Anteilig 15: - 5m gehen zu Regal Abschirmbleche - 11m mit Abschirmblech kommissionieren - 16m zurück in Arbeitsbereich   01.03.24 AVO angepasst. Köhler,1.0,15.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,2,11m  Abschirmblech kommissionieren,LO-FAG,LO-FAG,0.015,11.0,1.0,1,11.0,0.164999999999999
17,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000B:8WK,8WK: 25000B,Laufweg Abschirmbleche komissionieren,Anteilig 15: - 5m gehen zu Regal Abschirmbleche - 11m mit Abschirmblech kommissionieren - 16m zurück in Arbeitsbereich   01.03.24 AVO angepasst. Köhler,1.0,15.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,3,16m zurück in Arbeitsbereich,3000AH1....5,AH1,0.015,16.0,1.0,1,16.0,0.24
18,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AB:8WK,8WK: 25000AB,Bremsabschirmblech rechts picken,- 15 Teile aus KLT aufnehmen und in Regal am Verbauort Schwenklager platzieren/einschieben;  ,1.0,15.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,1,"1 Teil / Teile-Stapel mit zusätzlichem nachschieben (Mittelgroße bis Großteile; sperrig, größer 30x30cm; größer 1kg) gleichzeitig aufnehmen u. ablegen (vorwiegend in GLT/Regal/Kom.-wagen/Trolley) [Umlage/Teil]",3000AB2....5,AB2,0.075,1.0,1.0,1,1.0,0.075
19,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AC:8WK,8WK: 25000AC,Bremsabschirmblech links picken,- 15 Teile aus KLT aufnehmen und in Regal am Verbauort Schwenklager platzieren/einschieben;  ,1.0,15.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,1,"1 Teil / Teile-Stapel mit zusätzlichem nachschieben (Mittelgroße bis Großteile; sperrig, größer 30x30cm; größer 1kg) gleichzeitig aufnehmen u. ablegen (vorwiegend in GLT/Regal/Kom.-wagen/Trolley) [Umlage/Teil]",3000ZA3....5,ZA3,0.075,1.0,1.0,1,1.0,0.075
20,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AD:8WK,8WK: 25000AD,Laufweg 2m von SL-Links zu SL-Rechts,- 1m von SL-Links zu SL-Rechts gehen - 1m von SL-Rechts zu SL-Links gehen,1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,1,1m von SL-Links zu SL-Rechts gehen,M-SHOXN,M-SHOXN,0.015,1.0,1.0,1,1.0,0.015
21,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AD:8WK,8WK: 25000AD,Laufweg 2m von SL-Links zu SL-Rechts,- 1m von SL-Links zu SL-Rechts gehen - 1m von SL-Rechts zu SL-Links gehen,1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,2,1m von SL-Rechts zu SL-Links gehen,3000PA1....5,PA1,0.015,1.0,1.0,1,1.0,0.015
22,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AG:8WK,8WK: 25000AG,KLT Schrauben Bremsabschirmblech wechseln,Anteilig 150: - 8m von WST zum Regal gehen - KLT mit 12oo Schrauben von Anlieferregal an VBO bringen (8 Schrauben/Fzg)  - 8m von Regal zum WST  Teilenr: N.107.414.02  ,1.0,150.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,1,8m von WST zum Regal gehen,LO-WMIT,LO-WMIT,0.015,8.0,1.0,1,8.0,0.12
23,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AG:8WK,8WK: 25000AG,KLT Schrauben Bremsabschirmblech wechseln,Anteilig 150: - 8m von WST zum Regal gehen - KLT mit 12oo Schrauben von Anlieferregal an VBO bringen (8 Schrauben/Fzg)  - 8m von Regal zum WST  Teilenr: N.107.414.02  ,1.0,150.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,2,KLT aus Regal holen / in Regal schieben; vom Boden / Trailer aufnehmen / absetzen,LO-WS,LO-WS,0.123,1.0,1.0,1,1.0,0.123
24,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AG:8WK,8WK: 25000AG,KLT Schrauben Bremsabschirmblech wechseln,Anteilig 150: - 8m von WST zum Regal gehen - KLT mit 12oo Schrauben von Anlieferregal an VBO bringen (8 Schrauben/Fzg)  - 8m von Regal zum WST  Teilenr: N.107.414.02  ,1.0,150.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,3,8m von Regal zum WST,3000AF3....5,AF3,0.015,8.0,1.0,1,8.0,0.12
25,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022E:8WK,8WK: 25022E,Luftleitelement unten an der Spurstange re. montieren,Luftleitelement an 1. Stellen an der Spurstange platzieren 2. Stelle ansetzen Halteteil unten verrasten Halteteil oben verrasten  ***PDM 8B3.615 Blatt 62-64  12.03.24 ZH angepasst. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,1,Luftleitelement an 1. Stellen an der Spurstange platzieren,M-KBC,M-KBC,0.033,1.0,1.0,1,1.0,0.033
26,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022E:8WK,8WK: 25022E,Luftleitelement unten an der Spurstange re. montieren,Luftleitelement an 1. Stellen an der Spurstange platzieren 2. Stelle ansetzen Halteteil unten verrasten Halteteil oben verrasten  ***PDM 8B3.615 Blatt 62-64  12.03.24 ZH angepasst. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,2,2. Stelle ansetzen,M-GKJ.1,M-GKJ.1,0.012,1.0,1.0,1,1.0,0.012
27,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022E:8WK,8WK: 25022E,Luftleitelement unten an der Spurstange re. montieren,Luftleitelement an 1. Stellen an der Spurstange platzieren 2. Stelle ansetzen Halteteil unten verrasten Halteteil oben verrasten  ***PDM 8B3.615 Blatt 62-64  12.03.24 ZH angepasst. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,3,Halteteil unten verrasten,3000AH1....5,AH1,0.033,1.0,1.0,1,1.0,0.033
28,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022E:8WK,8WK: 25022E,Luftleitelement unten an der Spurstange re. montieren,Luftleitelement an 1. Stellen an der Spurstange platzieren 2. Stelle ansetzen Halteteil unten verrasten Halteteil oben verrasten  ***PDM 8B3.615 Blatt 62-64  12.03.24 ZH angepasst. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,4,Halteteil oben verrasten,3000AK3....5,AK3,0.018,1.0,1.0,1,1.0,0.018
29,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022E:8WK,8WK: 25022E,Luftleitelement unten an der Spurstange re. montieren,Luftleitelement an 1. Stellen an der Spurstange platzieren 2. Stelle ansetzen Halteteil unten verrasten Halteteil oben verrasten  ***PDM 8B3.615 Blatt 62-64  12.03.24 ZH angepasst. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,5,***PDM 8B3.615 Blatt 62-64,,,0.0,1.0,1.0,1,1.0,0.0
30,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022D:8WK,8WK: 25022D,Luftleitelement unten an der Spurstange li. montieren,Luftleitelement an 1. Stellen an der Spurstange platzieren 2. Stelle ansetzen Halteteil unten verrasten Halteteil oben verrasten  ***PDM 8B3.615 Blatt 62-64  12.03.24 ZH angepasst. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,1,Luftleitelement an 1. Stellen an der Spurstange platzieren,LO-GSW,LO-GSW,0.033,1.0,1.0,1,1.0,0.033
31,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022D:8WK,8WK: 25022D,Luftleitelement unten an der Spurstange li. montieren,Luftleitelement an 1. Stellen an der Spurstange platzieren 2. Stelle ansetzen Halteteil unten verrasten Halteteil oben verrasten  ***PDM 8B3.615 Blatt 62-64  12.03.24 ZH angepasst. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,2,2. Stelle ansetzen,LO-HKA,LO-HKA,0.012,1.0,1.0,1,1.0,0.012
32,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022D:8WK,8WK: 25022D,Luftleitelement unten an der Spurstange li. montieren,Luftleitelement an 1. Stellen an der Spurstange platzieren 2. Stelle ansetzen Halteteil unten verrasten Halteteil oben verrasten  ***PDM 8B3.615 Blatt 62-64  12.03.24 ZH angepasst. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,3,Halteteil unten verrasten,M-SMJ.1,M-SMJ.1,0.033,1.0,1.0,1,1.0,0.033
33,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022D:8WK,8WK: 25022D,Luftleitelement unten an der Spurstange li. montieren,Luftleitelement an 1. Stellen an der Spurstange platzieren 2. Stelle ansetzen Halteteil unten verrasten Halteteil oben verrasten  ***PDM 8B3.615 Blatt 62-64  12.03.24 ZH angepasst. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,4,Halteteil oben verrasten,3000VA.....5,VA,0.018,1.0,1.0,1,1.0,0.018
34,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022D:8WK,8WK: 25022D,Luftleitelement unten an der Spurstange li. montieren,Luftleitelement an 1. Stellen an der Spurstange platzieren 2. Stelle ansetzen Halteteil unten verrasten Halteteil oben verrasten  ***PDM 8B3.615 Blatt 62-64  12.03.24 ZH angepasst. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,5,***PDM 8B3.615 Blatt 62-64,,,0.0,1.0,1.0,1,1.0,0.0
35,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022H:8WK,8WK: 25022H,LW 2x5m Luftleitelemente li. holen,LW 2x5m Luftleitelement holen,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,1,LW 2x5m Luftleitelement holen,L-EKEE.1,L-EKEE.1,0.015,10.0,1.0,1,10.0,0.15
36,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022I:8WK,8WK: 25022I,LW 2x2m Luftleitelemente re. holen,LW 2x2m Luftleitelemente re. holen,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,1,LW 2x2m Luftleitelemente re. holen,3000AE3....5,AE3,0.015,4.0,1.0,1,4.0,0.06
37,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022AA:8WK,8WK: 25022AA,scannen Luftleitelement links (DMC),- Handscannen aufnehmen  - Einsacannen: Luftleitelement links DMC einscannen  - Handscanner ablegen   14.11.23 neue PZW eingetragen. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,1,Scanner aufnehmen und ablegen.,SEC,SEC,0.024,1.0,1.0,1,1.0,0.024
38,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022AA:8WK,8WK: 25022AA,scannen Luftleitelement links (DMC),- Handscannen aufnehmen  - Einsacannen: Luftleitelement links DMC einscannen  - Handscanner ablegen   14.11.23 neue PZW eingetragen. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,2,Luftleitelement links DMC einscannen,M-EEA,M-EEA,0.028666668,1.0,1.0,1,1.0,0.028666668
39,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022AB:8WK,8WK: 25022AB,scannen Luftleitelement rechts (DMC),- Handscannen aufnehmen  - Einsacannen: Luftleitelement links DMC einscannen  - Handscanner ablegen   14.11.23 neue PZW eingetragen. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,1,Scanner aufnehmen und ablegen.,M-GKJ.1,M-GKJ.1,0.024,1.0,1.0,1,1.0,0.024
40,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022AB:8WK,8WK: 25022AB,scannen Luftleitelement rechts (DMC),- Handscannen aufnehmen  - Einsacannen: Luftleitelement links DMC einscannen  - Handscanner ablegen   14.11.23 neue PZW eingetragen. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,2,Luftleitelement links DMC einscannen,M-SMB.2,M-SMB.2,0.028666668,1.0,1.0,1,1.0,0.028666668
41,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022AC:8WK,8WK: 25022AC,Luftleitelement rechts Kabelbinder montieren,1. Kabelbinder aufnehmen und an Luftleitelement platzieren 1. Kabelbinder durchschieben 2. Kabelbinder aufnehmen und an Luftleitelement platzieren 2. Kabelbinder durchschieben Kabelbinderende aufnehmen (Kabelbinder im LU) Kabelbinder 1 und um die Spurstange wickeln Kabelbinder durchschieben Kabelbinderende in Kabelbinderschloß einfügen Kabelbinder 1 schliessen Kabelbinderende aufnehmen (Kabelbinder im LU) Kabelbinder 2 und um die Spurstange wickeln Kabelbinder durchschieben Kabelbinderende in Kabelbinderschloß einfügen Kabelbinder 2 schliessen Festzurrzange aufnehmen und ablegen. Kabelbinder 1 mit Zange spannen und ablängen zusatzliche 2 Folgebewegungen zum Spannen Kabelbinder 2 mit Zange spannen und ablängen zusatzliches 2 Folgebewegungen zum Spannen  ***PDM 8B3.615 Blatt 62-64  14.11.23 neue PZW eingetragen. Köhler 12.03.24 ZH angepasst. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,1,1. Kabelbinder aufnehmen und an Luftleitelement platzieren,M-KSJ.2,M-KSJ.2,0.033,1.0,1.0,1,1.0,0.033
42,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25022/25022AC:8WK,8WK: 25022AC,Luftleitelement rechts Kabelbinder montieren,1. Kabelbinder aufnehmen und an Luftleitelement platzieren 1. Kabelbinder durchschieben 2. Kabelbinder aufnehmen und an Luftleitelement platzieren 2. Kabelbinder durchschieben Kabelbinderende aufnehmen (Kabelbinder im LU) Kabelbinder 1 und um die Spurstange wickeln Kabelbinder durchschieben Kabelbinderende in Kabelbinderschloß einfügen Kabelbinder 1 schliessen Kabelbinderende aufnehmen (Kabelbinder im LU) Kabelbinder 2 und um die Spurstange wickeln Kabelbinder durchschieben Kabelbinderende in Kabelbinderschloß einfügen Kabelbinder 2 schliessen Festzurrzange aufnehmen und ablegen. Kabelbinder 1 mit Zange spannen und ablängen zusatzliche 2 Folgebewegungen zum Spannen Kabelbinder 2 mit Zange spannen und ablängen zusatzliches 2 Folgebewegungen zum Spannen  ***PDM 8B3.615 Blatt 62-64  14.11.23 neue PZW eingetragen. Köhler 12.03.24 ZH angepasst. Köhler,1.0,1.0,4PZ25022,"Luftführung an Querlenker, Spurstange, Dämpferstelze",3.0,2,1. Kabelbinder durchschieben,LO-IBH,LO-IBH,0.006,2.0,1.0,1,2.0,0.012
